GRIDCODE,CVIDE,Fb,Area VEGxCELDA,AREA ENTIDADxMUN
202819,16054,0.006460239,357440.37,55329279.06
202819,16071,0.089281566,7984446.31,89429953.78
202820,16054,0.000997675,55200.62,55329279.06
202820,16071,0.036432606,3258166.29,89429953.78
202820,11046,0.024343343,605377.91,24868314.7
202821,16054,0.106935337,702196.41,6566551.646
202822,16054,0.170483983,1119491.88,6566551.646
202822,11046,0.123307761,2774053.11,22496987.16
202823,16036,0.355019622,1769217.94,4983437.062
202823,16054,0.004134269,27147.89,6566551.646
202823,11046,0.21068206,4739711.61,22496987.16
202823,11021,0.044823379,1665707.60,37161580.65
202824,16036,0.247096708,1231390.89,4983437.062
202824,11046,0.036456151,820153.56,22496987.16
202824,11021,0.180867471,6721321.11,37161580.65
202825,16036,0.054907401,273627.58,4983437.062
202825,11021,0.154549419,5743300.70,37161580.65
202826,11021,0.002973379,110495.47,37161580.65
202854,11019,0.003926901,668651.89,170274719
202854,11019,0.001090134,127878.06,117304949.2
202855,11019,0.023218684,3953554.89,170274719
202855,11019,0.040619142,4764826.34,117304949.2
202856,16031,0.028174019,1328256.29,47144721.81
202856,16031,0.002879956,125453.22,43560806.32
202856,11019,0.006374841,1085474.28,170274719
202856,11019,0.055077098,6460816.20,117304949.2
202857,16017,0.011192169,132428.36,11832233.54
202857,16017,0.021861218,1636223.37,74845937.89
202857,16017,0.060186148,712136.56,11832233.54
202857,16031,0.121295975,5718465.02,47144721.81
202857,16031,0.011648108,507400.98,43560806.32
202858,16017,0.002511465,29716.24,11832233.54
202858,16017,6.81432E-06,510.02,74845937.89
202858,16017,0.366119342,4332009.56,11832233.54
202858,16031,0.000165415,7798.45,47144721.81
202858,16031,0.012784771,602734.47,47144721.81
202859,16017,0.003983856,47137.91,11832233.54
202859,16017,0.022046177,1650066.81,74845937.89
202860,16017,0.020321385,1520973.14,74845937.89
202863,15085,0.01059091,824885.53,77886177.79
202863,16017,0.020794627,1556393.35,74845937.89
202864,15085,0.000283433,22075.49,77886177.79
202868,15001,0.000346299,49099.58,141783715.8
202869,15001,0.004510966,639581.58,141783715.8
202870,15001,0.004122972,584570.26,141783715.8
202870,15001,0.00799811,1134001.78,141783715.8
202871,15001,0.027764261,3936520.14,141783715.8
202871,15001,0.035712704,5063479.86,141783715.8
202872,15003,0.000587509,57839.21,98448259.28
202872,15003,0.021138013,1240991.21,58708982.08
202872,15003,0.04018135,2359006.16,58708982.08
202872,15001,0.010078806,1429010.58,141783715.8
202872,15001,0.027599452,3913152.83,141783715.8
202873,15003,0.001342441,132160.97,98448259.28
202873,15003,0.069128703,4058475.79,58708982.08
202873,15001,0.001198183,169882.79,141783715.8
202874,15003,0.00656348,385335.24,58708982.08
202875,15001,0.000418765,59374.08,141783715.8
203855,16094,0.066251659,1935159.20,29209218.86
203855,16028,0.11974217,6166978.80,51502146.66
203856,16028,0.022705613,1169387.81,51502146.66
203857,16028,0.027423429,698365.14,25466004.11
203857,16028,0.095569475,4922033.14,51502146.66
203858,16028,0.089600067,2281755.68,25466004.11
203858,16028,0.000788745,40622.08,51502146.66
203858,16028,0.069416351,3575091.09,51502146.66
203870,16071,0.013811491,1235161.00,89429953.78
203871,16071,0.008574033,766775.40,89429953.78
203872,16071,0.01880326,1285979.56,68391309.36
203873,16071,0.11201479,7660838.18,68391309.36
203874,16071,0.053642299,3668667.06,68391309.36
203874,16071,0.000469626,41998.68,89429953.78
203875,16071,0.003464035,309788.51,89429953.78
203876,16071,0.005811316,519705.75,89429953.78
203877,16071,0.022013137,1968633.82,89429953.78
203878,16071,0.065170554,5828199.63,89429953.78
203879,16071,0.04740644,4239555.76,89429953.78
203879,11046,0.000876231,21790.38,24868314.7
203881,11046,0.164157529,4082321.09,24868314.7
203882,11046,0.03819114,949749.30,24868314.7
203882,11021,0.857326809,1634348.34,1906330.608
203882,11021,0.041239337,1532518.94,37161580.65
203883,11021,0.179582561,6673571.83,37161580.65
203884,11021,0.238004208,8844612.56,37161580.65
203885,11021,0.1030167,3828263.40,37161580.65
203913,11019,0.005382451,631388.17,117304949.2
203913,11019,0.011615991,1977909.63,170274719
203914,16031,0.001057864,46081.42,43560806.32
203914,11019,0.022620368,2653481.17,117304949.2
203914,11019,0.037001602,6300437.41,170274719
203915,16031,0.047423715,2065815.27,43560806.32
203915,16031,0.050114573,2362637.63,47144721.81
203915,11019,0.002395943,281055.97,117304949.2
203915,11019,0.024834836,4228744.75,170274719
203915,11019,0.000526375,61746.38,117304949.2
203916,16031,0.152018225,7166856.92,47144721.81
203928,15001,0.002537907,359833.91,141783715.8
203928,22001,0.003202084,289477.37,90402803.04
203929,15001,0.029547314,4189328.02,141783715.8
203929,22001,0.040396458,3651953.03,90402803.04
203930,15003,0.017038515,1000313.88,58708982.08
203930,15001,0.041809492,5927905.06,141783715.8
203930,22001,0.022917221,2071781.06,90402803.04
203931,15003,0.001036018,101994.19,98448259.28
203931,15003,0.148255515,8703930.37,58708982.08
203931,15001,0.001368813,194075.45,141783715.8
203932,15003,0.049293306,4852840.13,98448259.28
203932,15003,0.004674749,274449.73,58708982.08
203933,15003,0.092460116,5428239.30,58708982.08
203934,15003,0.109671122,6438679.91,58708982.08
203934,15001,0.007429496,1053381.61,141783715.8
203935,15003,0.0376753,2211878.51,58708982.08
203935,15001,9.93278E-06,1408.31,141783715.8
204914,16094,0.000239311,6990.07,29209218.86
204914,16028,0.125380997,6457390.50,51502146.66
204915,16028,0.163291081,4158371.35,25466004.11
204915,16028,0.00231449,119201.18,51502146.66
204916,16028,0.252248191,6423753.46,25466004.11
204916,16028,0.031229589,1608390.89,51502146.66
204917,16028,0.062137107,1582383.82,25466004.11
204917,16028,0.133064773,6853121.43,51502146.66
204917,16109,0.000128029,1303.90,10184377.84
204918,16028,0.013240715,681925.24,51502146.66
204918,16109,0.00028579,2910.60,10184377.84
204926,16004,0.722497597,2255371.56,3121631.912
204929,16071,0.062816951,5617716.99,89429953.78
204930,16071,0.063061026,5639544.68,89429953.78
204940,11046,0.177092997,4404004.38,24868314.7
204941,11046,0.091882445,2284961.56,24868314.7
204941,11021,0.142673191,271982.27,1906330.608
204943,11021,0.05271554,1958992.79,37161580.65
204944,11021,0.002222673,82598.04,37161580.65
204971,11019,0.010093464,1184013.30,117304949.2
204972,11019,0.069365311,8136894.28,117304949.2
204973,16031,0.084659883,3687852.78,43560806.32
204973,11019,0.045284937,5312147.22,117304949.2
204974,16031,0.20179196,8790220.50,43560806.32
204974,16031,0.004449692,209779.50,47144721.81
