GRIDCODE,CVIDE,Fa,Area VEGxCELDA,AREA ENTIDADxMUN
199695,15001,0.043769503,8892736.46,203171976.3
199696,15001,0.002501271,508188.19,203171976.3
199696,15001,0.025091605,5097910.89,203171976.3
199696,15001,0.001003224,203827.00,203171976.3
199697,15001,0.008743828,1776500.90,203171976.3
199697,15001,0.024375031,4952323.32,203171976.3
199697,15001,0.000101471,20616.15,203171976.3
199697,15001,0.00293755,85822.97,29215836.61
199698,15001,0.011945456,348996.50,29215836.61
199698,15001,0.012733967,2587185.16,203171976.3
199699,15001,0.04047472,8223328.90,203171976.3
199700,15102,0.000616367,46360.96,75216502.97
199700,15001,0.04009693,8146572.56,203171976.3
199701,15102,0.002304361,173325.96,75216502.97
199701,15045,0.007232711,1129300.47,156137930.4
199701,15001,0.024549122,4987693.73,203171976.3
199702,15102,0.005581014,419784.37,75216502.97
199702,15045,0.040707342,6355960.17,156137930.4
199703,15102,4.64207E-06,349.16,75216502.97
199703,15045,0.047657892,7441204.55,156137930.4
200678,16094,0.071784334,5015275.99,69865884.34
200678,16094,0.035308603,2466866.77,69865884.34
200679,16094,0.044445224,3105204.85,69865884.34
200679,16094,0.037996944,2654690.13,69865884.34
200680,16094,0.095435112,6667658.50,69865884.34
200680,16094,0.01212555,847162.27,69865884.34
200681,16094,0.017379837,1214257.66,69865884.34
200682,16067,0.001443054,275716.92,191064860.6
200682,16070,0.001850619,142678.77,77097841.81
200682,16094,0.039307915,2746282.26,69865884.34
200683,16067,0.012942148,2472789.70,191064860.6
200683,16067,0.002905545,555147.51,191064860.6
200683,16070,0.000376323,29013.71,77097841.81
200683,16094,0.021025439,1468960.89,69865884.34
200684,16067,0.006001788,1146730.82,191064860.6
200685,16063,0.022658327,1918442.40,84668315.25
200685,16067,0.024684951,589912.57,23897660.1
200686,16063,0.106297143,9000000.00,84668315.25
200687,16063,0.106297143,9000000.00,84668315.25
200688,16063,0.097434185,8249588.26,84668315.25
200689,16063,0.007946224,311803.60,39239215.32
200689,16063,0.061365609,5195722.70,84668315.25
200690,16063,0.172343305,6762616.07,39239215.32
200690,16063,0.004358467,369024.09,84668315.25
200691,16063,0.129398172,5077482.74,39239215.32
200693,16044,0.000763527,42372.19,55495327.48
200693,16063,0.013809392,1169217.91,84668315.25
200693,16071,0.067053413,2061950.25,30750861.99
200694,16044,0.001341649,74455.26,55495327.48
200694,16063,0.000110643,9367.95,84668315.25
200694,16071,0.235834677,7252119.62,30750861.99
200695,16071,0.085290665,2622761.47,30750861.99
200696,16044,0.029443431,1633972.87,55495327.48
200696,16054,0.003737633,290634.00,77758829.78
200696,16071,0.045264491,1391922.11,30750861.99
200697,16044,9.66426E-06,536.32,55495327.48
200697,16054,0.070874713,5511134.73,77758829.78
200697,16071,0.039019451,1199881.74,30750861.99
200698,16054,0.062497819,4859757.27,77758829.78
200699,16054,0.114446144,8899198.19,77758829.78
200700,16054,0.115742483,9000000.00,77758829.78
200701,16054,0.048359284,1502218.84,31063711.66
200701,16054,0.04945068,3845227.03,77758829.78
200702,16054,0.129681925,4028401.93,31063711.66
